电影名称,电影排名,电影评分,短评,评论人数
海盗电台,202,8.6,生命不止，摇滚不死。,169764
绿里奇迹,203,8.7,天使暂时离开。,111014
终结者2：审判日,204,8.6,少见的超越首部的续集，动作片中的经典。,147004
源代码,205,8.3,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,424105
模仿游戏,206,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,267066
新龙门客栈,207,8.5,嬉笑怒骂，调风动月。,191951
黑客帝国3：矩阵革命,208,8.5,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,162846
勇闯夺命岛,209,8.5,类型片的极致。 ,147012
这个男人来自地球,210,8.5,科幻真正的魅力不是视觉效果能取代的。 ,189756
一个叫欧维的男人决定去死,211,8.7,惠及一生的美丽。,125871
卡萨布兰卡,212,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,129272
你的名字。,213,8.4,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,494426
城市之光,214,9.2,永远的小人物，伟大的卓别林。,46304
变脸,215,8.4,当发哥的风衣、墨镜出现在了凯奇身上??,221670
荒野生存,216,8.6,出门必备：本草纲目。,132059
迁徙的鸟,217,9.1,最美的飞翔。,53077
E.T. 外星人,218,8.5,生病的E.T.皮肤的颜色就像柿子饼。,159397
发条橙,219,8.4,我完全康复了。,192369
无耻混蛋,220,8.4,昆汀同学越来越变态了，比北野武还杜琪峰。,231422
初恋这件小事,221,8.3,黑小鸭速效美白记。,479781
黄金三镖客,222,9.1,最棒的西部片。,53703
美国丽人,223,8.4,每个人的内心都是深不可测的大海。 ,191938
爱在午夜降临前,224,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,121379
英国病人,225,8.4,"In memory, love lives forever...",178578
无人知晓,226,9.0,我的平常生活就是他人的幸福。,60012
燕尾蝶,227,8.6,现实与童话交相辉映的旅程。,110277
非常嫌疑犯,228,8.6,我不信仰上帝，但我敬畏上帝。,120549
疯狂的石头,229,8.3,中国版《两杆大烟枪》。,328093
叫我第一名,230,8.6,乐观比一切都有力量。,112265
勇士,231,8.9,热血沸腾，相当完美的娱乐拳击大餐。,90179
穆赫兰道,232,8.3,大卫·林奇的梦境迷宫。,242860
无敌破坏王,233,8.6,迪士尼和皮克斯拿错剧本的产物。,190706
国王的演讲,234,8.3,皇上无话儿。,352069
步履不停,235,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,77335
血钻,236,8.5,每个美丽事物背后都是滴血的现实。,137793
上帝也疯狂,237,8.6,纯净原始的笑与感动。,99073
彗星来的那一夜,238,8.4,小成本大魅力。,186890
枪火,239,8.6,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,103268
蓝色大门,240,8.3,青春的窃窃私语。 ,278721
大卫·戈尔的一生,241,8.6,捍卫人权只是信仰，一点不妨碍其行为的残忍。,96981
遗愿清单,242,8.5,用剩余不多的时间，去燃烧整个生命。,133992
我爱你,243,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 ,59804
千钧一发,244,8.7,一部能引人思考的科幻励志片。,89360
荒岛余生,245,8.5,一个人的独角戏。,139190
爱·回家,246,9.0,献给所有外婆的电影。,48732
黑鹰坠落,247,8.5,还原真实而残酷的战争。,119333
聚焦,248,8.8,无,131206
麦兜故事,249,8.5,麦兜是一只很哲学的猪。 ,131594
暖暖内含光,250,8.4,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,148654
